GUID;ExtrusionZ (mm)
0ckNYbui16NeZUKe$CBk6J;2221.0
0$zW8IPTnFRvf8MA9l4pWI;-2721.0
0oBwlCy5f2yv$zw_mjqV_Z;2126.0
1gruZ$vKD4qAueNOeiPwsD;-2418.0
39xkHHyVb4pvpCppqfArl1;5620.0
00HjR1xiPAwfWLEr3Vr8Fz;2120.0
28VBuuTuT1fQcD9$673aCC;-3195.0
1UdMdnnEr2l9hzt7jZCNTX;-19002.0
3BWLL1ytL249kevRLnCd9r;-19002.0
2ffXG8YIX7m8odCfbFclBq;-7870.0
2Pd4oKtQ16xQfa2xN0sk$D;-4000.0
0xsbfZ_Q9B7RmtfcjNZlGZ;5500.0
2WDbHs1Xb2mfZt_t2uHNcm;-4995.0
10MZq7PDj1LQF9eqt4IlJK;3670.0
39m1tY1$r4OwMbFwk77tfj;2421.0
