GUID;HEIGHT (mm)
0V0vncCoLBjfB5rPx6iV3x;995.0
2ZrIsKv$jDm9p2Qd20as66;995.0
25XBHYtbjEBuB4Aj8aKTJF;995.0
0pDxSUNpH2MQO4CkhMml7U;995.0
0z7ZQ2b1nDLfXd2kj7J5Dg;995.0
0ji0kYRVf4ZOxqL7b6brNn;851.0
06AV9NHHzCDOikK850vwQt;885.0
0a2Uxv0v19CeHFBoEKll5r;994.0
0c5zEWsjbFzQK2wRsItH5c;995.0
1Ps5rP08H3kuFM9xANsyqZ;919.0
3664Cw1GL0ueeMIROS4H9k;1081.0
0QjcpXbBL5Xw6XBGjHwCB1;847.0
325n6jU0r04wSgJCA1TsHH;822.0
3aAcuiM8T7sfqHoDvtVXbc;830.0
3z4vhBMCfE7viUuRyD1Aug;995.0
0ybArIYgfAoxIOug5kWn0u;995.0
19$QKfaaT3eO48$B1KNqOz;995.0
2Beo4t8N57JP6ZCYY2Q3cp;854.0
2EohlJMLb7A8Krzf5UVYTr;1165.0
1eFEdibXz0Awz3OWgAfbfr;998.0
0L0WkR10PEpQu4dPLDHtAU;960.0
2Y$B0aitj4u8pqfInsr9Gd;960.0
3$NGB8v5T0XPlKsBbMLoZz;989.0
14A38xVWT2Kwh17phK9Oct;995.0
2Kop1LFMX0EB8QawlKFS9V;900.0
1yZor1npr2ePJSeC6QlSW$;995.0
0D$Yp_GU58bx53lCcuVDxT;842.0
3AcMnzhpjF28jFpFGGXoPH;989.0
0HILS99eb9bweOPjHrFTvT;885.0
3HObVFy0vFzv0GtlqrRShf;880.0
0_20mNobD5_utpOLLg7Mx9;995.0
22X2yRolf5E9Sfmvz_9jvf;995.0
1sZKwmx01BwfVlPj_6iHt8;995.0
3ZiUEMktf1g9V8_p6go_rM;995.0
0XZomvsEfEYuK5HmRLTRfx;1052.0
3mgQGC5y9BPhIsrlNLL9vQ;1165.0
0h$YxO4zr80wnZKIv2XtS$;995.0
1zG5gM$718jwLkQ1tcKqZT;960.0
1YI_l$LMnFrBunQnVYd1Jz;995.0
0qdFbSTw18CPsafQ4jE0F5;990.0
1lZbKlFD5EtQcJgtBZYg0Q;990.0
34pB5FyJf65P0g8byBFc8a;882.0
0PJs1QXJj9zwLdB1JpjU5W;995.0
2ila_zg8DC1BEXbPAvOMaR;971.0
2RqKgp9wHAjBe8MNP7ffCB;994.0
0EpLY2s_f9hhf9eQlKi1Y3;919.0
3g9lIspkzCpByouPv1ZM1W;837.0
3hh_Fdhxj3CPgTTqyZz5rV;837.0
16oNsfyTr0i8AeaSFsjFyd;837.0
